exception_id,invoice_id,exception_type,three_way_match,fraud_indicator,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket,invoice_amount,recovered_amount
EX-6001,IV-2111,duplicate_invoice,matched,none,medium,closed,block_payment_confirmed_error,2026-03,41,0,closed,18450.00,18450.00
EX-6002,IV-2112,missing_receipt,receipt_gap,none,low,closed,release_payment_cleared,2026-03,9,0,closed,2310.00,0.00
EX-6003,IV-2113,price_variance,price_gap,none,medium,closed,partial_credit_recovery,2026-03,27,0,closed,31200.00,2496.00
EX-6004,IV-2114,missing_po,po_gap,none,low,closed,reject_return_to_vendor,2026-03,14,0,closed,4100.00,0.00
EX-6005,IV-2115,quantity_mismatch,receipt_gap,none,medium,closed,partial_credit_recovery,2026-03,33,0,closed,27650.00,3870.00
EX-6006,IV-2116,weekend_submission,matched,none,low,closed,release_payment_cleared,2026-03,6,0,closed,1580.00,0.00
EX-6007,IV-2117,quantity_mismatch,receipt_gap,none,low,closed,release_payment_cleared,2026-04,12,0,closed,8940.00,0.00
EX-6008,IV-2118,price_variance,price_gap,none,medium,closed,reject_return_to_vendor,2026-04,19,0,closed,45300.00,0.00
EX-6009,IV-2119,missing_po,po_gap,shell_vendor_suspect,high,closed,escalate_fraud_investigation,2026-04,38,0,closed,6200.00,0.00
EX-6010,IV-2120,duplicate_invoice,matched,none,low,closed,block_payment_confirmed_error,2026-04,8,0,closed,920.00,920.00
EX-6011,IV-2121,weekend_submission,matched,split_invoicing,medium,closed,escalate_fraud_investigation,2026-04,29,0,closed,4890.00,0.00
EX-6012,IV-2122,missing_receipt,receipt_gap,none,low,closed,release_payment_cleared,2026-04,7,0,closed,2140.00,0.00
EX-6013,IV-2123,vendor_master_change,matched,bec_suspect,high,closed,block_payment_confirmed_error,2026-05,22,0,closed,96400.00,96400.00
EX-6014,IV-2124,duplicate_invoice,matched,none,medium,closed,block_payment_confirmed_error,2026-05,16,0,closed,12780.00,12780.00
EX-6015,IV-2125,price_variance,price_gap,none,medium,closed,partial_credit_recovery,2026-05,25,0,closed,29800.00,2384.00
EX-6016,IV-2126,missing_po,po_gap,none,low,closed,reject_return_to_vendor,2026-05,11,0,closed,4750.00,0.00
EX-6017,IV-2127,missing_receipt,receipt_gap,none,low,closed,release_payment_cleared,2026-05,10,0,closed,7420.00,0.00
EX-6018,IV-2128,quantity_mismatch,receipt_gap,none,medium,closed,release_payment_cleared,2026-05,15,0,closed,38150.00,0.00
EX-6019,IV-2129,suspicious_banking_change,matched,bec_suspect,high,closed,escalate_fraud_investigation,2026-05,31,0,closed,1860.00,0.00
EX-6020,IV-2130,duplicate_invoice,matched,none,low,closed,block_payment_confirmed_error,2026-06,5,0,closed,2310.00,2310.00
EX-7001,IV-2103,suspicious_banking_change,matched,bec_suspect,high,open,pending,2026-06,3,2,0_5_days,148200.00,0.00
EX-7002,IV-2102,duplicate_invoice,matched,none,high,open,pending,2026-06,5,4,0_5_days,23410.00,0.00
EX-7003,IV-2107,missing_po,po_gap,shell_vendor_suspect,high,open,pending,2026-06,8,9,6_15_days,9840.00,0.00
EX-7004,IV-2105,missing_po,po_gap,split_invoicing,medium,open,pending,2026-06,6,12,6_15_days,4950.00,0.00
EX-7005,IV-2109,price_variance,price_gap,none,medium,open,pending,2026-06,10,18,over_15_days,52300.00,0.00
EX-7006,IV-2110,missing_receipt,receipt_gap,none,medium,open,pending,2026-06,4,21,over_15_days,6875.00,0.00
