invoice_id,vendor_id,vendor_invoice_no,category,po_flag,payment_terms,invoice_month,approval_route,currency
IV-2101,V-3003,BRL-10442,logistics,yes,net_45,2026-06,dual_approver,USD
IV-2102,V-3003,BRL-1O442,logistics,yes,net_45,2026-06,dual_approver,USD
IV-2103,V-3001,MIT-55871,it_services,yes,net_30,2026-06,dual_approver,USD
IV-2104,V-3006,SCG-0447,consulting,no,net_30,2026-06,single_approver,USD
IV-2105,V-3006,SCG-0448,consulting,no,net_30,2026-06,single_approver,USD
IV-2106,V-3006,SCG-0449,consulting,no,net_30,2026-06,single_approver,USD
IV-2107,V-3009,QLS-0001,facilities,no,due_on_receipt,2026-06,single_approver,USD
IV-2108,V-3009,QLS-0002,facilities,no,due_on_receipt,2026-06,single_approver,USD
IV-2109,V-3005,HRM-88123,raw_materials,yes,net_60,2026-06,dual_approver,EUR
IV-2110,V-3002,CFG-33018,facilities,yes,net_30,2026-06,single_approver,USD
IV-2111,V-3001,MIT-55402,it_services,yes,net_30,2026-03,dual_approver,USD
IV-2112,V-3002,CFG-32544,facilities,yes,net_30,2026-03,single_approver,USD
IV-2113,V-3003,BRL-10118,logistics,yes,net_45,2026-03,dual_approver,USD
IV-2114,V-3004,VMC-7731,marketing,no,net_30,2026-03,single_approver,USD
IV-2115,V-3005,HRM-87550,raw_materials,yes,net_60,2026-03,dual_approver,EUR
IV-2116,V-3007,AOS-2210,facilities,yes,2_10_net_30,2026-03,auto_approved,USD
IV-2117,V-3008,NWF-4402,logistics,yes,net_45,2026-04,single_approver,EUR
IV-2118,V-3011,TGC-90211,raw_materials,yes,net_60,2026-04,dual_approver,USD
IV-2119,V-3010,PCS-118,marketing,no,net_30,2026-04,single_approver,USD
IV-2120,V-3012,CVM-0092,facilities,no,net_30,2026-04,auto_approved,USD
IV-2121,V-3004,VMC-7802,marketing,no,net_30,2026-04,single_approver,USD
IV-2122,V-3007,AOS-2288,facilities,yes,2_10_net_30,2026-04,auto_approved,USD
IV-2123,V-3001,MIT-55610,it_services,yes,net_30,2026-05,dual_approver,USD
IV-2124,V-3003,BRL-10287,logistics,yes,net_45,2026-05,dual_approver,USD
IV-2125,V-3005,HRM-87921,raw_materials,yes,net_60,2026-05,dual_approver,EUR
IV-2126,V-3006,SCG-0431,consulting,no,net_30,2026-05,single_approver,GBP
IV-2127,V-3008,NWF-4477,logistics,yes,net_45,2026-05,single_approver,EUR
IV-2128,V-3011,TGC-90455,raw_materials,yes,net_60,2026-05,dual_approver,USD
IV-2129,V-3012,CVM-0107,facilities,no,net_30,2026-05,auto_approved,USD
IV-2130,V-3002,CFG-32901,facilities,yes,net_30,2026-06,single_approver,USD
