claim_id,claimant_id,program,filing_month,weekly_amount_band,claim_context,verification_docs
C-4001,CL-3001,medicaid_eligibility,2026-05,under_150,multi_member_household,partial
C-4002,CL-3002,unemployment,2026-06,150_350,employer_contested,partial
C-4003,CL-3003,snap,2026-06,under_150,single_household,partial
C-4004,CL-3004,unemployment,2026-06,150_350,shared_address,complete
C-4005,CL-3005,unemployment,2026-03,over_350,employer_no_response,complete
C-4006,CL-3006,disability_state,2026-04,150_350,single_household,complete
C-4007,CL-3007,snap,2026-03,under_150,multi_member_household,complete
C-4008,CL-3008,tanf,2026-03,under_150,multi_member_household,partial
C-4009,CL-3009,unemployment,2026-03,over_350,shared_address,missing
C-4010,CL-3010,medicaid_eligibility,2026-03,under_150,single_household,complete
C-4011,CL-3011,unemployment,2026-03,150_350,employer_contested,complete
C-4012,CL-3012,snap,2026-04,under_150,single_household,complete
C-4013,CL-3002,unemployment,2026-04,150_350,employer_no_response,complete
C-4014,CL-3007,medicaid_eligibility,2026-04,under_150,multi_member_household,partial
C-4015,CL-3008,snap,2026-04,under_150,multi_member_household,complete
C-4016,CL-3005,unemployment,2026-04,over_350,self_employment,partial
C-4017,CL-3009,unemployment,2026-04,over_350,shared_address,missing
C-4018,CL-3010,snap,2026-05,under_150,single_household,complete
C-4019,CL-3011,tanf,2026-05,under_150,multi_member_household,partial
C-4020,CL-3012,medicaid_eligibility,2026-05,under_150,single_household,complete
C-4021,CL-3001,snap,2026-05,under_150,multi_member_household,complete
C-4022,CL-3004,tanf,2026-05,under_150,multi_member_household,complete
C-4023,CL-3003,medicaid_eligibility,2026-04,under_150,single_household,partial
C-4024,CL-3008,medicaid_eligibility,2026-06,under_150,multi_member_household,complete
C-4025,CL-3011,unemployment,2026-05,150_350,employer_no_response,complete
C-4026,CL-3012,tanf,2026-06,under_150,single_household,partial
C-4027,CL-3010,unemployment,2026-06,150_350,single_household,complete
C-4028,CL-3007,tanf,2026-06,under_150,multi_member_household,complete
C-4029,CL-3009,unemployment,2026-06,over_350,shared_address,missing
C-4030,CL-3010,snap,2026-06,under_150,single_household,complete
