determination_id,claim_id,claimant_id,program,determination_type,issue_type,severity,status,disposition,appeal_outcome,filed_month,age_days,days_to_deadline,deadline_bucket,benefit_amount_band,overpayment_amount
GB-D-4001,C-4007,CL-3007,snap,initial_eligibility,household_composition,low,closed,approve_benefits,not_applicable,2026-03,9,0,closed,under_150,0.00
GB-D-4002,C-4009,CL-3009,unemployment,initial_eligibility,identity,high,closed,refer_fraud_investigation,not_applicable,2026-03,21,0,closed,over_350,0.00
GB-D-4003,C-4010,CL-3010,medicaid_eligibility,initial_eligibility,income_verification,low,closed,approve_benefits,not_applicable,2026-03,12,0,closed,under_150,0.00
GB-D-4004,C-4011,CL-3011,unemployment,initial_eligibility,separation_reason,medium,closed,deny_with_findings,not_applicable,2026-03,18,0,closed,150_350,0.00
GB-D-4005,C-4008,CL-3008,tanf,initial_eligibility,household_composition,medium,closed,request_verification_documents,not_applicable,2026-03,14,0,closed,under_150,0.00
GB-D-4006,C-4011,CL-3011,unemployment,appeal_hearing_prep,separation_reason,medium,closed,approve_benefits,overturned,2026-04,33,0,closed,150_350,0.00
GB-D-4007,C-4013,CL-3002,unemployment,initial_eligibility,work_search,medium,closed,deny_with_findings,not_applicable,2026-04,16,0,closed,150_350,0.00
GB-D-4008,C-4014,CL-3007,medicaid_eligibility,redetermination,income_verification,medium,closed,request_verification_documents,not_applicable,2026-04,11,0,closed,under_150,0.00
GB-D-4009,C-4015,CL-3008,snap,redetermination,household_composition,low,closed,approve_benefits,not_applicable,2026-04,8,0,closed,under_150,0.00
GB-D-4010,C-4016,CL-3005,unemployment,initial_eligibility,income_verification,medium,closed,deny_with_findings,not_applicable,2026-04,22,0,closed,over_350,0.00
GB-D-4011,C-4017,CL-3009,unemployment,initial_eligibility,identity,high,closed,refer_fraud_investigation,not_applicable,2026-04,19,0,closed,over_350,0.00
GB-D-4012,C-4006,CL-3006,disability_state,initial_eligibility,income_verification,medium,closed,deny_with_findings,not_applicable,2026-04,25,0,closed,150_350,0.00
GB-D-4013,C-4012,CL-3012,snap,initial_eligibility,income_verification,low,closed,approve_benefits,not_applicable,2026-04,10,0,closed,under_150,0.00
GB-D-4014,C-4013,CL-3002,unemployment,appeal_hearing_prep,work_search,medium,closed,deny_with_findings,upheld,2026-05,29,0,closed,150_350,0.00
GB-D-4015,C-4019,CL-3011,tanf,redetermination,income_verification,low,closed,request_verification_documents,not_applicable,2026-05,9,0,closed,under_150,0.00
GB-D-4016,C-4018,CL-3010,snap,redetermination,household_composition,low,closed,approve_benefits,not_applicable,2026-05,7,0,closed,under_150,0.00
GB-D-4017,C-4009,CL-3009,unemployment,overpayment,identity,high,closed,deny_with_findings,not_applicable,2026-04,27,0,closed,over_350,5210.00
GB-D-4018,C-4021,CL-3001,snap,redetermination,income_verification,low,closed,approve_benefits,not_applicable,2026-05,6,0,closed,under_150,0.00
GB-D-4019,C-4019,CL-3011,tanf,overpayment,income_verification,medium,closed,approve_benefits,not_applicable,2026-05,20,0,closed,under_150,380.00
GB-D-4020,C-4022,CL-3004,tanf,initial_eligibility,household_composition,low,closed,close_withdrawn,not_applicable,2026-06,5,0,closed,under_150,0.00
GB-D-5001,C-4001,CL-3001,medicaid_eligibility,redetermination,income_verification,high,open,pending,not_applicable,2026-06,8,6,0_7_days,under_150,0.00
GB-D-5002,C-4002,CL-3002,unemployment,initial_eligibility,separation_reason,medium,open,pending,not_applicable,2026-06,10,11,8_20_days,150_350,0.00
GB-D-5003,C-4003,CL-3003,snap,initial_eligibility,income_verification,high,open,pending,not_applicable,2026-06,5,2,0_7_days,under_150,0.00
GB-D-5004,C-4004,CL-3004,unemployment,initial_eligibility,identity,medium,open,pending,not_applicable,2026-06,6,14,8_20_days,150_350,0.00
GB-D-5005,C-4005,CL-3005,unemployment,overpayment,income_verification,medium,open,pending,not_applicable,2026-06,12,25,over_20_days,over_350,8460.00
GB-D-5006,C-4006,CL-3006,disability_state,appeal_hearing_prep,income_verification,high,open,pending,pending,2026-06,15,3,0_7_days,150_350,0.00
