dispute_id,cardholder_id,account_id,txn_id,network,card_product,dispute_type,reason_code,reg_flag,severity,status,disposition,provisional_credit,chargeback_filed,deadline_bucket,assigned_tier,filed_month,age_days,deadline_days_left,amount,recovery_amount
DSP-4001,C-2001,A-200101,T-7005,visa,debit,not_received,13.1,reg_e,medium,closed,denied_no_error,reversed,no,closed,l1,2026-04,58,0,214.50,0.00
DSP-4002,C-2001,A-200101,T-7006,visa,debit,not_received,13.1,reg_e,medium,closed,denied_no_error,reversed,no,closed,l2,2026-05,31,0,168.75,0.00
DSP-4003,C-2002,A-200201,T-7015,mastercard,credit,cancelled_recurring,4853,reg_z,low,closed,cardholder_favor,not_required,no,closed,l1,2026-03,12,0,15.99,0.00
DSP-4004,C-2005,A-200501,T-7016,mastercard,credit,quality_defective,4853,reg_z,medium,closed,chargeback_won,not_required,yes,closed,l2,2026-03,44,0,1284.00,1284.00
DSP-4005,C-2007,A-200701,T-7017,mastercard,credit,credit_not_processed,4860,reg_z,low,closed,chargeback_won,not_required,yes,closed,l1,2026-03,29,0,89.95,89.95
DSP-4006,C-2010,A-201001,T-7018,visa,debit,fraud_unauthorized,10.3,reg_e,high,closed,denied_no_error,reversed,no,closed,l2,2026-03,47,0,142.63,0.00
DSP-4007,C-2011,A-201101,T-7019,mastercard,credit,not_received,4853,reg_z,medium,closed,chargeback_lost,not_required,yes,closed,l2,2026-04,66,0,760.00,0.00
DSP-4008,C-2002,A-200201,T-7020,mastercard,credit,duplicate_charge,4834,reg_z,low,closed,cardholder_favor,not_required,no,closed,l1,2026-04,9,0,54.20,0.00
DSP-4009,C-2009,A-200901,T-7021,mastercard,credit,cancelled_recurring,4853,reg_z,low,closed,chargeback_won,not_required,yes,closed,l1,2026-04,26,0,119.00,119.00
DSP-4010,C-2010,A-201001,T-7022,visa,debit,fraud_unauthorized,10.4,reg_e,high,closed,chargeback_won,issued,yes,closed,l2,2026-04,38,0,415.75,415.75
DSP-4011,C-2007,A-200701,T-7023,mastercard,credit,quality_defective,4853,reg_z,low,closed,denied_no_error,not_required,no,closed,l1,2026-05,21,0,66.30,0.00
DSP-4012,C-2005,A-200501,T-7024,mastercard,credit,credit_not_processed,4860,reg_z,low,closed,cardholder_favor,not_required,no,closed,l1,2026-05,17,0,289.99,0.00
DSP-4013,C-2012,A-201201,T-7025,visa,debit,quality_defective,13.3,reg_e,low,closed,denied_no_error,not_required,no,closed,l1,2026-05,24,0,112.85,0.00
DSP-4014,C-2011,A-201101,T-7026,mastercard,credit,cancelled_recurring,4853,reg_z,low,closed,cardholder_favor,not_required,no,closed,l1,2026-05,11,0,89.95,0.00
DSP-4015,C-2010,A-201001,T-7027,visa,debit,atm_shortfall,12.5,reg_e,medium,closed,cardholder_favor,issued,no,closed,l1,2026-05,13,0,100.00,0.00
DSP-4016,C-2002,A-200201,T-7028,mastercard,credit,fraud_unauthorized,4837,reg_z,medium,closed,chargeback_won,not_required,yes,closed,l1,2026-06,8,0,97.14,97.14
DSP-4017,C-2008,A-200801,T-7029,visa,debit,fraud_unauthorized,10.3,reg_e,medium,closed,cardholder_favor,issued,no,closed,l1,2026-06,10,0,61.45,0.00
DSP-4018,C-2004,A-200401,T-7030,visa,debit,cancelled_recurring,13.7,reg_e,low,closed,wrote_off,issued,no,closed,l1,2026-06,6,0,15.99,0.00
DSP-4019,C-2009,A-200901,T-7008,mastercard,credit,cancelled_recurring,4853,reg_z,low,closed,cardholder_favor,not_required,no,closed,l1,2026-05,15,0,39.99,0.00
DSP-4020,C-2003,A-200301,T-7001,mastercard,credit,fraud_unauthorized,4837,reg_z,low,closed,chargeback_lost,not_required,yes,closed,l1,2026-06,14,0,0.99,0.00
DSP-5001,C-2003,A-200301,T-7004,mastercard,credit,fraud_unauthorized,4837,reg_z,high,open,pending,not_required,no,over_15_days,l1,2026-06,6,24,849.99,0.00
DSP-5002,C-2001,A-200101,T-7007,visa,debit,not_received,13.1,reg_e,high,open,pending,due,no,0_5_days,l2,2026-06,9,1,342.20,0.00
DSP-5003,C-2009,A-200901,T-7009,mastercard,credit,cancelled_recurring,4853,reg_z,medium,open,pending,not_required,no,6_15_days,l1,2026-06,4,12,39.99,0.00
DSP-5004,C-2008,A-200801,T-7011,visa,debit,atm_shortfall,12.5,reg_e,medium,open,pending,due,no,0_5_days,l1,2026-06,7,3,200.00,0.00
DSP-5005,C-2006,A-200601,T-7013,visa,debit,duplicate_charge,12.6.1,reg_e,medium,open,pending,issued,no,over_15_days,l1,2026-06,11,34,86.40,0.00
DSP-5006,C-2004,A-200401,T-7014,visa,debit,fraud_unauthorized,10.4,reg_e,high,open,pending,due,no,0_5_days,l2,2026-06,8,2,2450.00,0.00
