chargeback_id,order_id,network,reason_code,reason_family,evidence_strength,fight_economics,first_party_suspect,severity,status,disposition,represented,outcome,filed_month,age_days,days_to_deadline,deadline_bucket,amount,recovered_amount
MR-4001,ORD-9001,visa,10.4,fraud,strong,above_threshold,no,medium,closed,represent_with_evidence,yes,won,2026-03,34,0,closed,289.99,289.99
MR-4002,ORD-9002,mastercard,4837,fraud,weak,below_threshold,no,low,closed,accept_liability_refund,no,accepted,2026-03,7,0,closed,24.99,0.00
MR-4003,ORD-9003,visa,13.1,consumer_dispute,strong,above_threshold,yes,medium,closed,represent_with_evidence,yes,won,2026-03,28,0,closed,412.50,412.50
MR-4004,ORD-9004,mastercard,4853,consumer_dispute,partial,above_threshold,no,medium,closed,represent_with_evidence,yes,lost,2026-03,41,0,closed,610.00,0.00
MR-4005,ORD-9005,mastercard,4834,processing_error,strong,below_threshold,no,low,closed,close_duplicate_or_resolved,no,resolved_prior,2026-03,5,0,closed,58.20,0.00
MR-4006,ORD-9006,visa,13.3,consumer_dispute,weak,below_threshold,no,low,closed,accept_liability_refund,no,accepted,2026-04,6,0,closed,79.00,0.00
MR-4007,ORD-9007,mastercard,4837,fraud,strong,above_threshold,yes,high,closed,flag_friendly_fraud_pattern,yes,won,2026-04,33,0,closed,529.99,529.99
MR-4008,ORD-9008,visa,12.6.1,processing_error,strong,above_threshold,no,medium,closed,represent_with_evidence,yes,won,2026-04,22,0,closed,146.80,146.80
MR-4009,ORD-9009,visa,10.4,fraud,partial,above_threshold,no,high,closed,represent_with_evidence,yes,lost,2026-04,45,0,closed,1120.00,0.00
MR-4010,ORD-9010,mastercard,4860,consumer_dispute,strong,below_threshold,no,low,closed,close_duplicate_or_resolved,no,resolved_prior,2026-04,8,0,closed,42.75,0.00
MR-4011,ORD-9011,visa,13.1,consumer_dispute,weak,below_threshold,no,low,closed,accept_liability_refund,no,accepted,2026-05,9,0,closed,36.40,0.00
MR-4012,ORD-9012,mastercard,4853,consumer_dispute,strong,above_threshold,no,medium,closed,represent_with_evidence,yes,won,2026-05,26,0,closed,864.00,864.00
MR-4013,ORD-9013,visa,10.4,fraud,strong,above_threshold,yes,medium,closed,flag_friendly_fraud_pattern,yes,won,2026-05,30,0,closed,214.35,214.35
MR-4014,ORD-9014,mastercard,4834,processing_error,partial,above_threshold,no,medium,closed,represent_with_evidence,yes,lost,2026-05,38,0,closed,398.60,0.00
MR-4015,ORD-9015,visa,13.3,consumer_dispute,partial,above_threshold,no,high,closed,pre_arbitration_escalate,yes,lost,2026-05,52,0,closed,1875.00,0.00
MR-4016,ORD-9016,mastercard,4837,fraud,weak,above_threshold,yes,medium,closed,flag_friendly_fraud_pattern,yes,lost,2026-06,19,0,closed,167.20,0.00
MR-4017,ORD-9017,visa,13.1,consumer_dispute,strong,above_threshold,no,medium,closed,represent_with_evidence,yes,won,2026-06,14,0,closed,318.90,318.90
MR-4018,ORD-9018,mastercard,4860,consumer_dispute,weak,below_threshold,no,low,closed,accept_liability_refund,no,accepted,2026-06,4,0,closed,29.95,0.00
MR-4019,ORD-9019,visa,10.4,fraud,strong,above_threshold,no,high,closed,pre_arbitration_escalate,yes,won,2026-06,48,0,closed,2310.00,2310.00
MR-4020,ORD-9020,mastercard,4853,consumer_dispute,strong,below_threshold,no,low,closed,close_duplicate_or_resolved,no,resolved_prior,2026-06,3,0,closed,49.99,0.00
MR-5001,ORD-9021,visa,10.4,fraud,strong,above_threshold,yes,medium,open,pending,no,pending,2026-06,6,25,over_20_days,749.00,0.00
MR-5002,ORD-9022,visa,13.1,consumer_dispute,strong,above_threshold,no,high,open,pending,no,pending,2026-06,9,6,0_7_days,486.30,0.00
MR-5003,ORD-9023,visa,13.3,consumer_dispute,weak,below_threshold,no,medium,open,pending,no,pending,2026-06,5,14,8_20_days,64.50,0.00
MR-5004,ORD-9024,mastercard,4837,fraud,strong,above_threshold,yes,high,open,pending,no,pending,2026-06,8,11,8_20_days,342.80,0.00
MR-5005,ORD-9025,mastercard,4853,consumer_dispute,strong,above_threshold,no,high,open,pending,no,pending,2026-06,21,4,0_7_days,1980.00,0.00
MR-5006,ORD-9005,mastercard,4834,processing_error,pending,below_threshold,no,medium,open,pending,no,pending,2026-06,3,16,8_20_days,58.20,0.00
