order_id,customer_id,product_category,channel,avs_cvv_match,delivery_confirmation,device_match,order_month,ltv_band,amount
ORD-9001,CU-3005,electronics,web,yes,yes,yes,2026-03,medium,289.99
ORD-9002,CU-3007,digital_goods,app,no,no,no,2026-03,low,24.99
ORD-9003,CU-3006,home_goods,web,yes,yes,no,2026-03,high,412.50
ORD-9004,CU-3009,electronics,marketplace,yes,no,no,2026-03,low,610.00
ORD-9005,CU-3008,beauty,web,yes,yes,no,2026-03,medium,58.20
ORD-9006,CU-3004,apparel,app,yes,yes,no,2026-04,low,79.00
ORD-9007,CU-3002,electronics,web,yes,yes,yes,2026-04,low,529.99
ORD-9008,CU-3010,home_goods,web,yes,yes,no,2026-04,high,146.80
ORD-9009,CU-3011,electronics,marketplace,no,no,no,2026-04,low,1120.00
ORD-9010,CU-3012,apparel,web,yes,yes,no,2026-04,medium,42.75
ORD-9011,CU-3004,apparel,app,yes,no,no,2026-05,low,36.40
ORD-9012,CU-3005,digital_goods,web,yes,no,yes,2026-05,medium,864.00
ORD-9013,CU-3009,digital_goods,app,yes,no,yes,2026-05,low,214.35
ORD-9014,CU-3003,home_goods,web,yes,yes,no,2026-05,high,398.60
ORD-9015,CU-3006,electronics,web,yes,yes,no,2026-05,high,1875.00
ORD-9016,CU-3002,electronics,marketplace,yes,yes,yes,2026-06,low,167.20
ORD-9017,CU-3010,home_goods,web,yes,yes,no,2026-06,high,318.90
ORD-9018,CU-3007,beauty,app,yes,no,no,2026-06,low,29.95
ORD-9019,CU-3003,electronics,web,yes,yes,yes,2026-06,high,2310.00
ORD-9020,CU-3008,digital_goods,web,yes,no,no,2026-06,medium,49.99
ORD-9021,CU-3001,electronics,web,yes,yes,yes,2026-06,medium,749.00
ORD-9022,CU-3012,home_goods,web,yes,yes,no,2026-06,medium,486.30
ORD-9023,CU-3011,apparel,marketplace,yes,yes,no,2026-06,low,64.50
ORD-9024,CU-3002,electronics,app,yes,yes,yes,2026-06,low,342.80
ORD-9025,CU-3006,electronics,web,yes,yes,yes,2026-06,high,1980.00
ORD-9026,CU-3001,electronics,web,yes,yes,yes,2026-03,medium,129.99
ORD-9027,CU-3001,home_goods,web,yes,yes,yes,2026-03,medium,84.25
ORD-9028,CU-3001,apparel,app,yes,yes,yes,2026-04,medium,156.40
ORD-9029,CU-3002,digital_goods,app,yes,no,yes,2026-05,low,19.99
ORD-9030,CU-3010,beauty,web,yes,yes,no,2026-05,high,72.60
