dispute_id,tradeline_id,channel,dispute_reason,tradeline_type,fcra_flag,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket
CR-4101,TL-6019,direct,wrong_balance,card,standard,medium,closed,correct_tradeline,2026-03,24,0,closed
CR-4102,TL-6020,e_oscar_acdv,wrong_balance,student,standard,medium,closed,correct_tradeline,2026-03,28,0,closed
CR-4103,TL-6001,direct,not_mine,card,standard,low,closed,verify_accurate_as_reported,2026-03,19,0,closed
CR-4104,TL-6016,direct,paid_in_full,collection,standard,medium,closed,verify_accurate_as_reported,2026-03,26,0,closed
CR-4105,TL-6025,direct,identity_theft,card,identity_theft_block,high,closed,escalate_identity_theft_review,2026-03,4,0,closed
CR-4106,TL-6017,e_oscar_acdv,wrong_balance,auto,standard,low,closed,verify_accurate_as_reported,2026-04,25,0,closed
CR-4107,TL-6022,e_oscar_acdv,not_mine,collection,standard,medium,closed,delete_unverifiable,2026-04,30,0,closed
CR-4108,TL-6014,direct,wrong_balance,mortgage,standard,low,closed,correct_tradeline,2026-04,18,0,closed
CR-4109,TL-6001,direct,not_mine,card,standard,low,closed,verify_accurate_as_reported,2026-04,21,0,closed
CR-4110,TL-6029,direct,duplicate_tradeline,card,standard,low,closed,verify_accurate_as_reported,2026-04,22,0,closed
CR-4111,TL-6013,e_oscar_acdv,paid_in_full,student,standard,low,closed,correct_tradeline,2026-04,27,0,closed
CR-4112,TL-6018,court_document,not_mine,card,standard,high,closed,correct_tradeline,2026-05,33,0,closed
CR-4113,TL-6030,court_document,identity_theft,collection,standard,medium,closed,delete_unverifiable,2026-05,29,0,closed
CR-4114,TL-6001,direct,wrong_balance,card,standard,low,closed,close_frivolous_documented,2026-05,6,0,closed
CR-4115,TL-6002,e_oscar_acdv,wrong_balance,auto,standard,low,closed,verify_accurate_as_reported,2026-05,24,0,closed
CR-4116,TL-6023,e_oscar_acdv,not_mine,mortgage,standard,medium,closed,verify_accurate_as_reported,2026-05,30,0,closed
CR-4117,TL-6021,direct,identity_theft,card,identity_theft_block,high,closed,escalate_identity_theft_review,2026-06,3,0,closed
CR-4118,TL-6028,direct,obsolete_info,student,standard,low,closed,delete_unverifiable,2026-06,12,0,closed
CR-4119,TL-6024,direct,paid_in_full,card,standard,low,closed,close_frivolous_documented,2026-06,7,0,closed
CR-4120,TL-6015,e_oscar_acdv,wrong_balance,card,standard,low,closed,correct_tradeline,2026-06,9,0,closed
CR-5101,TL-6012,e_oscar_acdv,wrong_balance,card,standard,high,open,pending,2026-06,26,4,0_5_days
CR-5102,TL-6003,direct,identity_theft,card,identity_theft_block,high,open,pending,2026-06,2,2,0_5_days
CR-5103,TL-6005,direct,not_mine,card,standard,high,open,pending,2026-06,15,15,6_15_days
CR-5104,TL-6008,direct,duplicate_tradeline,collection,standard,medium,open,pending,2026-06,8,22,over_15_days
CR-5105,TL-6010,direct,obsolete_info,card,standard,medium,open,pending,2026-06,5,25,over_15_days
CR-5106,TL-6001,direct,not_mine,card,standard,medium,open,pending,2026-06,18,12,6_15_days
