device_id,product_id,lot_batch,manufacture_year,region_sold,software_version,service_history
D-3001,P-101,lot_a,2023,us,v2_x,routine
D-3002,P-101,lot_b,2024,eu,v3_x,none
D-3003,P-101,lot_b,2024,us,v3_x,multiple_repairs
D-3004,P-102,lot_a,2022,us,v3_x,routine
D-3005,P-102,lot_b,2023,eu,v3_x,routine
D-3006,P-102,lot_b,2023,us,v3_x,multiple_repairs
D-3007,P-102,lot_c,2025,apac,v4_0,none
D-3008,P-103,lot_a,2024,us,v3_x,none
D-3009,P-103,lot_a,2024,eu,v3_x,none
D-3010,P-103,lot_c,2025,us,v4_0,none
D-3011,P-103,lot_c,2025,us,v4_0,none
D-3012,P-103,lot_c,2025,eu,v4_0,none
D-3013,P-104,lot_a,2023,us,v2_x,none
D-3014,P-104,lot_b,2024,us,v2_x,none
D-3015,P-105,lot_a,2022,us,v3_x,multiple_repairs
D-3016,P-105,lot_b,2023,latam,v3_x,routine
D-3017,P-105,lot_b,2024,eu,v3_x,routine
D-3018,P-106,lot_a,2023,us,none,none
D-3019,P-106,lot_b,2024,eu,none,none
D-3020,P-106,lot_b,2024,us,none,none
D-3021,P-107,lot_a,2023,us,v2_x,multiple_repairs
D-3022,P-107,lot_b,2024,us,v2_x,routine
D-3023,P-107,lot_b,2024,apac,v3_x,none
D-3024,P-108,lot_a,2024,us,none,none
D-3025,P-108,lot_b,2025,us,none,none
D-3026,P-109,lot_a,2024,us,none,none
D-3027,P-109,lot_b,2025,eu,none,none
D-3028,P-109,lot_b,2025,us,none,none
D-3029,P-110,lot_a,2024,us,none,none
D-3030,P-110,lot_a,2025,eu,none,none
