lot_id,supplier_id,part_family,program,lot_size_band,mfg_month,serialized
L-3001,S-1001,machined,talon_uav,under_50,2026-03,yes
L-3002,S-1001,machined,talon_uav,under_50,2026-04,yes
L-3003,S-1001,machined,meridian_sat,under_50,2026-05,yes
L-3004,S-1001,machined,talon_uav,under_50,2026-06,yes
L-3005,S-1002,machined,talon_uav,50_200,2026-03,yes
L-3006,S-1002,machined,vector_ev,201_1000,2026-04,no
L-3007,S-1012,machined,vector_ev,50_200,2026-05,no
L-3008,S-1003,casting,talon_uav,under_50,2026-03,yes
L-3009,S-1003,casting,talon_uav,under_50,2026-04,yes
L-3010,S-1003,casting,meridian_sat,under_50,2026-05,yes
L-3011,S-1003,casting,talon_uav,under_50,2026-06,yes
L-3012,S-1004,casting,vector_ev,201_1000,2026-04,no
L-3013,S-1004,casting,vector_ev,201_1000,2026-06,no
L-3014,S-1005,pcb_assembly,vector_ev,201_1000,2026-04,no
L-3015,S-1005,pcb_assembly,talon_uav,50_200,2026-06,yes
L-3016,S-1006,pcb_assembly,meridian_sat,under_50,2026-05,yes
L-3017,S-1007,harness,talon_uav,50_200,2026-03,yes
L-3018,S-1007,harness,talon_uav,50_200,2026-06,yes
L-3019,S-1007,harness,talon_uav,50_200,2026-06,yes
L-3020,S-1007,harness,meridian_sat,under_50,2026-06,yes
L-3021,S-1008,molded,pulseguard_md,over_1000,2026-03,no
L-3022,S-1008,molded,pulseguard_md,over_1000,2026-04,no
L-3023,S-1008,molded,pulseguard_md,over_1000,2026-05,no
L-3024,S-1009,molded,pulseguard_md,201_1000,2026-04,no
L-3025,S-1010,fastener,talon_uav,over_1000,2026-03,no
L-3026,S-1010,fastener,vector_ev,over_1000,2026-05,no
L-3027,S-1011,fastener,talon_uav,over_1000,2026-05,no
L-3028,S-1002,machined,meridian_sat,under_50,2026-06,yes
L-3029,S-1006,pcb_assembly,vector_ev,201_1000,2026-03,no
L-3030,S-1009,molded,pulseguard_md,201_1000,2026-06,no
