lead_id,provider_npi,lead_source,fwa_typology,fwa_score,exposure_amount,status,priority,opened_month,assigned_to,outcome
LEAD-6001,1811223344,nightly_scan,upcoding,0.87,48620.00,triage,high,2026-06,INV-03,pending
LEAD-6002,1922334455,nightly_scan,impossible_day,0.94,187400.00,open_investigation,critical,2026-05,INV-01,pending
LEAD-6003,1731425869,data_mining,unbundling,0.86,23900.00,open_investigation,medium,2026-05,INV-04,pending
LEAD-6004,1546372819,member_complaint,phantom_billing,0.92,61300.00,open_investigation,high,2026-04,INV-02,pending
LEAD-6005,1497586920,leie_refresh,phantom_billing,0.96,137400.00,referred,critical,2026-03,INV-01,confirmed
LEAD-6006,1385960718,hotline,impossible_day,0.44,8200.00,closed,low,2026-02,INV-05,false_positive
LEAD-6007,1873645291,nightly_scan,upcoding,0.38,5400.00,closed,low,2026-02,INV-03,false_positive
LEAD-6008,1922334455,member_complaint,phantom_billing,0.71,24800.00,triage,high,2026-06,INV-02,pending
LEAD-6009,1811223344,data_mining,upcoding,0.81,15300.00,new,medium,2026-06,UNASSIGNED,pending
LEAD-6010,1731425869,nightly_scan,unbundling,0.79,10400.00,closed,medium,2026-01,INV-04,confirmed
LEAD-6011,1546372819,nightly_scan,phantom_billing,0.88,32100.00,closed,high,2026-01,INV-02,confirmed
LEAD-6012,1264859373,hotline,upcoding,0.29,3100.00,closed,low,2026-03,INV-05,false_positive
LEAD-6013,1592837465,nightly_scan,unbundling,0.41,2600.00,closed,low,2026-04,INV-04,false_positive
LEAD-6014,1608794231,member_complaint,phantom_billing,0.52,6900.00,triage,medium,2026-06,INV-05,pending
