listing_id,seller_id,category,price_vs_msrp,fulfillment,listing_month,buyer_complaint_band,image_reuse,list_price
L-6001,S-3001,electronics,market,platform,2026-03,none,no,129.99
L-6002,S-3001,electronics,market,platform,2026-04,low,no,249.00
L-6003,S-3001,electronics,premium,platform,2026-05,none,no,899.00
L-6004,S-3002,electronics,deep_discount,seller,2026-05,elevated,yes,189.00
L-6005,S-3002,electronics,market,seller,2026-05,low,no,449.00
L-6006,S-3002,electronics,deep_discount,seller,2026-06,elevated,no,99.00
L-6007,S-3003,electronics,deep_discount,seller,2026-05,elevated,yes,79.99
L-6008,S-3003,electronics,deep_discount,seller,2026-06,high,yes,64.50
L-6009,S-3004,beauty,market,platform,2026-03,none,no,42.00
L-6010,S-3004,beauty,market,platform,2026-04,low,no,58.50
L-6011,S-3005,apparel,market,platform,2026-03,none,no,148.00
L-6012,S-3005,apparel,market,platform,2026-05,none,no,132.00
L-6013,S-3006,luxury,deep_discount,seller,2026-04,elevated,yes,459.00
L-6014,S-3006,luxury,deep_discount,seller,2026-05,high,yes,525.00
L-6015,S-3007,toys,market,seller,2026-03,low,no,24.99
L-6016,S-3007,toys,deep_discount,seller,2026-04,elevated,no,12.99
L-6017,S-3008,luxury,premium,platform,2026-03,none,no,1850.00
L-6018,S-3008,luxury,market,platform,2026-04,none,no,1290.00
L-6019,S-3009,electronics,deep_discount,seller,2026-04,high,yes,59.00
L-6020,S-3009,media,deep_discount,seller,2026-03,elevated,yes,9.99
L-6021,S-3006,luxury,deep_discount,seller,2026-06,elevated,yes,599.00
L-6022,S-3005,apparel,market,platform,2026-06,none,no,155.00
L-6023,S-3002,electronics,market,seller,2026-06,low,no,379.00
L-6024,S-3003,electronics,deep_discount,seller,2026-06,high,yes,69.99
L-6025,S-3007,toys,market,seller,2026-06,high,no,18.75
L-6026,S-3011,apparel,market,seller,2026-06,low,no,210.00
L-6027,S-3010,media,market,platform,2026-04,none,no,14.99
L-6028,S-3010,media,market,platform,2026-05,none,no,22.50
L-6029,S-3012,electronics,market,platform,2026-05,none,no,549.00
L-6030,S-3011,apparel,market,seller,2026-05,elevated,no,185.00
