review_id,listing_id,review_type,trigger_source,product_vertical,claim_basis,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket,gmv_at_risk
RV-9001,L-6013,counterfeit_takedown,ml_detector,luxury,authenticity,high,closed,remove_listing_enforce,2026-04,21,0,closed,10850.00
RV-9002,L-6014,counterfeit_takedown,test_buy,luxury,authenticity,high,closed,remove_listing_enforce,2026-05,17,0,closed,14200.00
RV-9003,L-6019,counterfeit_takedown,buyer_reports,electronics,authenticity,medium,closed,remove_listing_enforce,2026-04,12,0,closed,4130.00
RV-9004,L-6020,ip_infringement_claim,brand_owner_complaint,media,copyright,medium,closed,remove_listing_enforce,2026-03,9,0,closed,1495.00
RV-9005,L-6016,counterfeit_takedown,buyer_reports,toys,safety,high,closed,remove_listing_enforce,2026-04,6,0,closed,2210.00
RV-9006,L-6007,seller_fraud_alert,ml_detector,electronics,kyb_mismatch,high,closed,suspend_seller_network,2026-05,15,0,closed,8640.00
RV-9007,L-6019,seller_fraud_alert,ml_detector,electronics,kyb_mismatch,high,closed,suspend_seller_network,2026-05,18,0,closed,6420.00
RV-9008,L-6011,ip_infringement_claim,brand_owner_complaint,apparel,trademark,medium,closed,reject_claim_insufficient,2026-03,14,0,closed,3550.00
RV-9009,L-6012,ip_infringement_claim,brand_owner_complaint,apparel,trademark,low,closed,reject_claim_insufficient,2026-05,11,0,closed,2900.00
RV-9010,L-6027,ip_infringement_claim,brand_owner_complaint,media,copyright,low,closed,reject_claim_insufficient,2026-04,8,0,closed,610.00
RV-9011,L-6009,counterfeit_takedown,brand_owner_complaint,beauty,authenticity,medium,closed,request_authenticity_evidence,2026-03,19,0,closed,1980.00
RV-9012,L-6010,counterfeit_takedown,test_buy,beauty,authenticity,medium,closed,remove_listing_enforce,2026-05,23,0,closed,2760.00
RV-9013,L-6004,counterfeit_takedown,ml_detector,electronics,authenticity,medium,closed,request_authenticity_evidence,2026-05,13,0,closed,5310.00
RV-9014,L-6017,ip_infringement_claim,brand_owner_complaint,luxury,trademark,low,closed,reject_claim_insufficient,2026-03,10,0,closed,9250.00
RV-9015,L-6015,counterfeit_takedown,buyer_reports,toys,safety,medium,closed,request_authenticity_evidence,2026-03,16,0,closed,1240.00
RV-9016,L-6005,onboarding_vetting,kyb_screen,electronics,kyb_mismatch,medium,closed,reinstate_seller_cleared,2026-05,9,0,closed,3140.00
RV-9017,L-6018,onboarding_vetting,kyb_screen,luxury,kyb_mismatch,low,closed,reinstate_seller_cleared,2026-04,6,0,closed,2580.00
RV-9018,L-6015,reinstatement_request,buyer_reports,toys,safety,low,closed,reinstate_seller_cleared,2026-05,20,0,closed,1685.00
RV-9019,L-6008,counterfeit_takedown,test_buy,electronics,authenticity,high,closed,remove_listing_enforce,2026-06,5,0,closed,3870.00
RV-9020,L-6028,ip_infringement_claim,brand_owner_complaint,media,copyright,low,closed,remove_listing_enforce,2026-06,4,0,closed,890.00
RV-9021,L-6021,counterfeit_takedown,ml_detector,luxury,authenticity,high,open,pending,2026-06,6,5,4_10_days,17970.00
RV-9022,L-6022,ip_infringement_claim,brand_owner_complaint,apparel,trademark,medium,open,pending,2026-06,5,2,0_3_days,4650.00
RV-9023,L-6023,onboarding_vetting,kyb_screen,electronics,kyb_mismatch,high,open,pending,2026-06,7,3,0_3_days,11370.00
RV-9024,L-6024,seller_fraud_alert,ml_detector,electronics,kyb_mismatch,high,open,pending,2026-06,9,12,over_10_days,9095.00
RV-9025,L-6025,counterfeit_takedown,buyer_reports,toys,safety,high,open,pending,2026-06,3,1,0_3_days,1875.00
RV-9026,L-6026,reinstatement_request,brand_owner_complaint,apparel,authenticity,medium,open,pending,2026-06,12,8,4_10_days,6300.00
