seller_id,seller_name,country,account_age_bucket,gmv_tier,prior_violations,kyb_verified,linked_accounts
S-3001,Auralis Direct LLC,US,established,high,none,yes,no
S-3002,Kestrel Outlet Co,CN,new,high,none,mismatch,no
S-3003,PrimeSpark Traders,CN,new,mid,one,no,yes
S-3004,NovaBloom Beauty Lab,KR,established,mid,none,yes,no
S-3005,TrueNorth Resale,US,established,mid,none,yes,no
S-3006,GildedHour Boutique,HK,new,low,none,no,no
S-3007,PlayWorks Imports,CN,recent,mid,one,yes,no
S-3008,Marlowe and Finch Ltd,GB,established,high,none,yes,no
S-3009,SwiftCart Global,VN,recent,low,multiple,no,yes
S-3010,Everline Media House,US,established,low,none,yes,no
S-3011,Cobalt Peak Gear,US,recent,mid,one,yes,no
S-3012,Lumen Electronics GmbH,DE,established,high,none,yes,no
