account_id,entity_id,jurisdiction,registration_status,filing_frequency,account_month,filing_history
A-5101,E-3001,CA,registered,monthly,2026-03,clean
A-5102,E-3001,TX,registered,monthly,2026-03,occasional_late
A-5103,E-3001,NY,registered,monthly,2026-04,clean
A-5104,E-3001,federal,registered,quarterly,2026-04,clean
A-5105,E-3002,CA,registered,monthly,2026-03,clean
A-5106,E-3002,WA,registered,quarterly,2026-05,clean
A-5107,E-3002,CO,pending_registration,quarterly,2026-06,clean
A-5108,E-3002,FL,registered,monthly,2026-04,occasional_late
A-5109,E-3003,NY,registered,quarterly,2026-03,clean
A-5110,E-3003,TX,registered,quarterly,2026-04,occasional_late
A-5111,E-3003,federal,registered,quarterly,2026-05,clean
A-5112,E-3004,IL,registered,monthly,2026-03,frequent_late
A-5113,E-3004,OH,registered,quarterly,2026-04,occasional_late
A-5114,E-3005,PA,registered,quarterly,2026-03,clean
A-5115,E-3005,GA,registered,annual,2026-05,clean
A-5116,E-3006,federal,registered,monthly,2026-03,clean
A-5117,E-3006,NY,registered,monthly,2026-04,clean
A-5118,E-3007,FL,registered,monthly,2026-03,occasional_late
A-5119,E-3007,GA,registered,quarterly,2026-06,clean
A-5120,E-3008,CA,registered,quarterly,2026-04,clean
A-5121,E-3008,IL,registered,quarterly,2026-05,clean
A-5122,E-3009,TX,registered,monthly,2026-03,clean
A-5123,E-3009,OH,registered,monthly,2026-05,occasional_late
A-5124,E-3010,federal,registered,annual,2026-04,frequent_late
A-5125,E-3010,CA,registered,quarterly,2026-06,frequent_late
A-5126,E-3011,CO,registered,annual,2026-03,occasional_late
A-5127,E-3012,TX,registered,quarterly,2026-04,clean
A-5128,E-3012,PA,registered,quarterly,2026-05,clean
A-5129,E-3005,federal,registered,quarterly,2026-06,clean
A-5130,E-3011,federal,registered,quarterly,2026-05,clean
