review_id,shipment_id,item_type,product_category,declared_hs_chapter,origin_country,destination,valuation_band,screening_list,match_score,duty_risk,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket
TC-4001,SHP-6001,hs_classification,industrial_machinery,84,CN,USLAX,50k_250k,unlisted,0.00,low,low,closed,confirm_classification,2026-03,12,0,closed
TC-4002,SHP-6006,screening_alert,consumer_electronics,85,CN,USLAX,50k_250k,sdn,0.74,low,medium,closed,release_false_positive,2026-03,6,0,closed
TC-4003,SHP-6020,hs_classification,apparel,61,BD,USSAV,50k_250k,unlisted,0.00,medium,low,closed,confirm_classification,2026-03,9,0,closed
TC-4004,SHP-6016,hs_classification,solar_panels,85,MY,USOAK,over_250k,unlisted,0.00,high,medium,closed,confirm_classification,2026-03,15,0,closed
TC-4005,SHP-6024,screening_alert,auto_parts,87,MX,USLAR,50k_250k,sdn,0.97,low,high,closed,sanctions_true_hit_hold,2026-03,19,0,closed
TC-4006,SHP-6002,hs_classification,industrial_machinery,84,DE,USJFK,50k_250k,unlisted,0.00,low,low,closed,confirm_classification,2026-04,8,0,closed
TC-4007,SHP-6012,hs_classification,furniture,39,CN,USLAX,50k_250k,unlisted,0.00,high,medium,closed,reclassify_correct_entry,2026-04,18,0,closed
TC-4008,SHP-6008,hs_classification,consumer_electronics,85,VN,USLGB,50k_250k,unlisted,0.00,medium,medium,closed,escalate_licensing_review,2026-04,14,0,closed
TC-4009,SHP-6017,hs_classification,solar_panels,85,VN,USOAK,50k_250k,unlisted,0.00,high,medium,closed,confirm_classification,2026-04,16,0,closed
TC-4010,SHP-6007,screening_alert,consumer_electronics,85,TR,USEWR,10k_50k,sdn,0.79,low,medium,closed,release_false_positive,2026-04,7,0,closed
TC-4011,SHP-6021,hs_classification,apparel,61,IN,USSAV,50k_250k,unlisted,0.00,medium,low,closed,reclassify_correct_entry,2026-04,11,0,closed
TC-4012,SHP-6013,hs_classification,furniture,94,VN,USLGB,50k_250k,unlisted,0.00,low,low,closed,confirm_classification,2026-05,10,0,closed
TC-4013,SHP-6009,screening_alert,consumer_electronics,85,TR,USEWR,50k_250k,sdn,0.81,low,medium,closed,release_false_positive,2026-05,5,0,closed
TC-4014,SHP-6028,screening_alert,chemicals,29,DE,USHOU,50k_250k,entity_list,0.77,low,medium,closed,release_false_positive,2026-05,8,0,closed
TC-4015,SHP-6025,hs_classification,auto_parts,87,MX,USLAR,50k_250k,unlisted,0.00,medium,medium,closed,reclassify_correct_entry,2026-05,20,0,closed
TC-4016,SHP-6026,hs_classification,auto_parts,85,DE,USJFK,50k_250k,unlisted,0.00,medium,medium,closed,escalate_licensing_review,2026-05,13,0,closed
TC-4017,SHP-6003,hs_classification,industrial_machinery,84,CN,USLAX,50k_250k,unlisted,0.00,medium,low,closed,confirm_classification,2026-06,6,0,closed
TC-4018,SHP-6029,screening_alert,chemicals,29,IN,USHOU,50k_250k,entity_list,0.95,medium,high,closed,sanctions_true_hit_hold,2026-06,9,0,closed
TC-4019,SHP-6022,hs_classification,textiles,63,BD,USSAV,50k_250k,unlisted,0.00,low,low,closed,confirm_classification,2026-06,5,0,closed
TC-4020,SHP-6030,hs_classification,chemicals,29,DE,USHOU,50k_250k,unlisted,0.00,medium,medium,closed,escalate_licensing_review,2026-06,7,0,closed
TC-5001,SHP-6015,hs_classification,furniture,39,CN,USLAX,50k_250k,unlisted,0.00,high,high,open,pending,2026-06,7,4,0_5_days
TC-5002,SHP-6011,screening_alert,consumer_electronics,85,TR,USEWR,50k_250k,sdn,0.88,low,high,open,pending,2026-06,5,3,0_5_days
TC-5003,SHP-6010,screening_alert,consumer_electronics,85,CN,AEJEA,over_250k,entity_list,0.93,medium,high,open,pending,2026-06,4,2,0_5_days
TC-5004,SHP-6019,hs_classification,solar_panels,85,MY,USOAK,over_250k,unlisted,0.00,high,high,open,pending,2026-06,12,9,6_15_days
TC-5005,SHP-6005,hs_classification,industrial_machinery,84,CN,USLAX,50k_250k,unlisted,0.00,high,medium,open,pending,2026-06,10,16,over_15_days
TC-5006,SHP-6004,hs_classification,consumer_electronics,85,DE,USJFK,50k_250k,unlisted,0.00,medium,medium,open,pending,2026-06,9,12,6_15_days
