shipment_id,importer_id,origin_country,dest_port,lane,mode,value,entry_month,broker
SHP-6001,P-3001,CN,USLAX,CN-LAX,ocean,184000.00,2026-03,Harborline Customs Brokerage
SHP-6002,P-3001,DE,USJFK,DE-JFK,air,96500.00,2026-04,Atlas Trade Services
SHP-6003,P-3001,CN,USLAX,CN-LAX,ocean,152300.00,2026-05,Harborline Customs Brokerage
SHP-6004,P-3001,DE,USJFK,DE-JFK,air,88200.00,2026-06,Atlas Trade Services
SHP-6005,P-3001,CN,USLAX,CN-LAX,ocean,143750.00,2026-06,Harborline Customs Brokerage
SHP-6006,P-3002,CN,USLAX,CN-LAX,ocean,232400.00,2026-03,ClearPort Brokers
SHP-6007,P-3002,TR,USEWR,TR-EWR,air,47800.00,2026-03,ClearPort Brokers
SHP-6008,P-3002,VN,USLGB,VN-LGB,ocean,129900.00,2026-04,ClearPort Brokers
SHP-6009,P-3002,TR,USEWR,TR-EWR,air,52350.00,2026-05,ClearPort Brokers
SHP-6010,P-3002,CN,USLAX,CN-LAX,ocean,318600.00,2026-06,ClearPort Brokers
SHP-6011,P-3002,TR,USEWR,TR-EWR,air,58900.00,2026-06,ClearPort Brokers
SHP-6012,P-3003,CN,USLAX,CN-LAX,ocean,76400.00,2026-03,Harborline Customs Brokerage
SHP-6013,P-3003,VN,USLGB,VN-LGB,ocean,91200.00,2026-04,Harborline Customs Brokerage
SHP-6014,P-3003,CN,USLAX,CN-LAX,ocean,83900.00,2026-05,Harborline Customs Brokerage
SHP-6015,P-3003,CN,USLAX,CN-LAX,ocean,88750.00,2026-06,Harborline Customs Brokerage
SHP-6016,P-3004,MY,USOAK,MY-OAK,ocean,264800.00,2026-03,Atlas Trade Services
SHP-6017,P-3004,VN,USOAK,VN-OAK,ocean,241300.00,2026-04,Atlas Trade Services
SHP-6018,P-3004,MY,USOAK,MY-OAK,ocean,289500.00,2026-05,Atlas Trade Services
SHP-6019,P-3004,MY,USOAK,MY-OAK,ocean,276400.00,2026-06,Atlas Trade Services
SHP-6020,P-3005,BD,USSAV,BD-SAV,ocean,64300.00,2026-03,Harborline Customs Brokerage
SHP-6021,P-3005,IN,USSAV,IN-SAV,ocean,71800.00,2026-04,Harborline Customs Brokerage
SHP-6022,P-3005,BD,USSAV,BD-SAV,ocean,59600.00,2026-05,Harborline Customs Brokerage
SHP-6023,P-3005,BD,USSAV,BD-SAV,ocean,67900.00,2026-06,Harborline Customs Brokerage
SHP-6024,P-3006,MX,USLAR,MX-LAR,truck,118400.00,2026-03,Atlas Trade Services
SHP-6025,P-3006,MX,USLAR,MX-LAR,truck,124900.00,2026-04,Atlas Trade Services
SHP-6026,P-3006,DE,USJFK,DE-JFK,air,93600.00,2026-05,Atlas Trade Services
SHP-6027,P-3006,MX,USLAR,MX-LAR,rail,131200.00,2026-06,Atlas Trade Services
SHP-6028,P-3007,DE,USHOU,DE-HOU,ocean,87300.00,2026-04,ClearPort Brokers
SHP-6029,P-3007,IN,USHOU,IN-HOU,ocean,79800.00,2026-05,ClearPort Brokers
SHP-6030,P-3007,DE,USHOU,DE-HOU,ocean,92600.00,2026-06,ClearPort Brokers
