partner_id,partner_name,partner_type,country,denied_party_risk,ctpat_flag,industry
P-3001,Keystone Industrial Imports,importer,US,low,yes,industrial_machinery
P-3002,BlueHarbor Trading Co,importer,US,medium,no,consumer_electronics
P-3003,Veridian Home Goods,importer,US,low,yes,furniture_housewares
P-3004,SunPath Solar Distributors,importer,US,medium,no,solar_energy
P-3005,Cascade Apparel Group,importer,US,low,yes,apparel
P-3006,IronGate Auto Components,importer,US,medium,no,auto_parts
P-3007,NovaChem Polymers,importer,US,low,no,chemicals
P-3008,Meridian Machine Works,supplier,CN,medium,no,industrial_machinery
P-3009,Altay Instruments LLC,supplier,TR,high,no,consumer_electronics
P-3010,Gulf Horizon Electronics FZE,consignee,AE,high,no,consumer_electronics
P-3011,Padma Textiles Ltd,supplier,BD,low,no,apparel
P-3012,Halstrom Precision GmbH,supplier,DE,low,no,precision_instruments
