shipment_id,carrier_id,lane,mode,service,value,ship_month,on_time,telematics_flags
SHP-6001,CAR-04,CHI-DAL,dry_van,brokerage,48200.00,2026-03,yes,one
SHP-6002,CAR-05,MCA-ATL,reefer,brokerage,61500.00,2026-03,yes,none
SHP-6003,CAR-01,ATL-MIA,dry_van,asset,32400.00,2026-03,yes,one
SHP-6004,CAR-03,KC-DEN,dry_van,brokerage,27800.00,2026-03,yes,none
SHP-6005,CAR-08,NWK-BOS,dry_van,brokerage,39900.00,2026-03,no,none
SHP-6006,CAR-12,DAL-HOU,dry_van,asset,21600.00,2026-03,yes,two_plus
SHP-6007,CAR-07,LAX-CHI,intermodal,brokerage,55300.00,2026-03,no,none
SHP-6008,CAR-04,CHI-DAL,dry_van,brokerage,51750.00,2026-04,yes,one
SHP-6009,CAR-05,FRS-DEN,reefer,brokerage,58400.00,2026-04,yes,none
SHP-6010,CAR-10,SAV-CLT,dry_van,brokerage,26350.00,2026-04,yes,none
SHP-6011,CAR-01,ATL-MIA,dry_van,asset,30100.00,2026-04,yes,two_plus
SHP-6012,CAR-09,MEM-CHI,dry_van,brokerage,24900.00,2026-04,no,one
SHP-6013,CAR-11,ONT-LAS,dry_van,brokerage,88600.00,2026-04,no,none
SHP-6014,CAR-06,DAL-ATL,dry_van,brokerage,19800.00,2026-04,yes,none
SHP-6015,CAR-07,LAX-CHI,intermodal,brokerage,47200.00,2026-04,no,none
SHP-6016,CAR-02,LRD-DAL,dry_van,brokerage,36500.00,2026-05,yes,none
SHP-6017,CAR-04,CHI-DAL,dry_van,brokerage,49800.00,2026-05,yes,one
SHP-6018,CAR-05,MCA-ATL,reefer,brokerage,63200.00,2026-05,yes,none
SHP-6019,CAR-03,KC-DEN,dry_van,brokerage,28750.00,2026-05,yes,none
SHP-6020,CAR-12,DAL-HOU,dry_van,asset,22400.00,2026-05,yes,one
SHP-6021,CAR-08,NWK-BOS,dry_van,brokerage,41100.00,2026-05,no,none
SHP-6022,CAR-10,SAV-CLT,dry_van,brokerage,25600.00,2026-05,yes,none
SHP-6023,CAR-01,ATL-MIA,dry_van,asset,31900.00,2026-05,yes,two_plus
SHP-6024,CAR-09,MEM-CHI,dry_van,brokerage,23700.00,2026-05,no,two_plus
SHP-6025,CAR-05,FRS-DEN,reefer,brokerage,60900.00,2026-06,yes,none
SHP-6026,CAR-10,SAV-CLT,dry_van,brokerage,27400.00,2026-06,yes,none
SHP-6027,CAR-02,LRD-DAL,dry_van,brokerage,52300.00,2026-06,no,none
SHP-6028,CAR-01,ATL-MIA,dry_van,asset,29800.00,2026-06,yes,one
SHP-6029,CAR-11,ONT-LAS,dry_van,brokerage,91400.00,2026-06,no,none
SHP-6030,CAR-06,DAL-ATL,dry_van,brokerage,20700.00,2026-06,yes,none
