account_id,account_handle,account_type,account_age_bucket,audience_tier,prior_violations,verified,monetized
ACC-3001,KestrelWatch,creator,established,mid,none,yes,yes
ACC-3002,BrightBazaarGoods,seller,established,mid,3_plus,no,yes
ACC-3003,LumaSketch,creator,established,large,1_2,yes,yes
ACC-3004,SatireCityDaily,creator,established,mid,1_2,no,yes
ACC-3005,PixelForgeFan,player,established,micro,none,no,no
ACC-3006,NovaTradesShop,seller,new,micro,1_2,no,no
ACC-3007,EchoRiftGaming,player,established,mid,3_plus,no,no
ACC-3008,HarborLaneHome,seller,established,mid,1_2,yes,yes
ACC-3009,DriftlineVlogs,creator,new,micro,1_2,no,no
ACC-3010,QuietOwlPoetry,creator,established,micro,1_2,no,no
ACC-3011,MeadowMatch88,member,established,micro,3_plus,no,no
ACC-3012,SparkPlayStudio,creator,established,top,1_2,yes,yes
