appeal_id,decision_id,appeal_type,policy_area,enforcement_source,user_standing,severity,status,disposition,filed_month,age_days,days_to_deadline,deadline_bucket
APL-7001,E-8001,content_removal,hate_speech,automated_classifier,first_strike,medium,closed,overturn_restore,2026-03,6,0,closed
APL-7002,E-8002,content_removal,counterfeit,user_report,repeat,high,closed,uphold_enforcement,2026-03,12,0,closed
APL-7003,E-8003,content_removal,adult,automated_classifier,first_strike,low,closed,uphold_enforcement,2026-03,21,0,closed
APL-7004,E-8004,account_suspension,harassment,moderator,repeat,medium,closed,uphold_enforcement,2026-03,15,0,closed
APL-7005,E-8005,demonetization,misinformation,automated_classifier,first_strike,medium,closed,escalate_policy_team,2026-03,28,0,closed
APL-7006,E-8006,ranking_restriction,harassment,user_report,power_user,high,closed,overturn_restore,2026-04,9,0,closed
APL-7007,E-8007,content_removal,counterfeit,user_report,first_strike,medium,closed,partial_modify_action,2026-04,18,0,closed
APL-7008,E-8008,content_removal,spam,automated_classifier,first_strike,low,closed,uphold_enforcement,2026-04,11,0,closed
APL-7009,E-8009,content_removal,counterfeit,user_report,first_strike,medium,closed,overturn_restore,2026-04,14,0,closed
APL-7010,E-8010,account_suspension,adult,moderator,repeat,medium,closed,uphold_enforcement,2026-04,20,0,closed
APL-7011,E-8011,content_removal,violence,automated_classifier,first_strike,medium,closed,overturn_restore,2026-05,7,0,closed
APL-7012,E-8012,account_suspension,spam,automated_classifier,repeat,medium,closed,uphold_enforcement,2026-05,10,0,closed
APL-7013,E-8013,demonetization,adult,automated_classifier,power_user,low,closed,partial_modify_action,2026-05,16,0,closed
APL-7014,E-8014,ranking_restriction,misinformation,automated_classifier,first_strike,low,closed,uphold_enforcement,2026-05,13,0,closed
APL-7015,E-8003,content_removal,adult,automated_classifier,first_strike,low,closed,close_duplicate_appeal,2026-05,3,0,closed
APL-7016,E-8015,content_removal,violence,automated_classifier,power_user,medium,closed,overturn_restore,2026-06,5,0,closed
APL-7017,E-8016,account_suspension,counterfeit,moderator,repeat,high,closed,uphold_enforcement,2026-06,9,0,closed
APL-7018,E-8017,content_removal,harassment,user_report,repeat,low,closed,uphold_enforcement,2026-06,7,0,closed
APL-7019,E-8018,demonetization,spam,automated_classifier,repeat,low,closed,escalate_policy_team,2026-06,12,0,closed
APL-7020,E-8006,ranking_restriction,harassment,user_report,power_user,low,closed,close_duplicate_appeal,2026-06,2,0,closed
APL-9001,E-8019,content_removal,hate_speech,automated_classifier,first_strike,high,open,pending,2026-06,4,2,0_5_days
APL-9002,E-8020,content_removal,counterfeit,user_report,repeat,medium,open,pending,2026-06,6,9,6_15_days
APL-9003,E-8021,ranking_restriction,harassment,user_report,power_user,high,open,pending,2026-06,5,3,0_5_days
APL-9004,E-8022,demonetization,misinformation,automated_classifier,repeat,medium,open,pending,2026-06,8,21,over_15_days
APL-9005,E-8023,account_suspension,spam,automated_classifier,first_strike,high,open,pending,2026-06,3,1,0_5_days
APL-9006,E-8019,content_removal,hate_speech,automated_classifier,first_strike,medium,open,pending,2026-06,1,12,6_15_days
