circuit_id,circuit_name,service_type,region,customers_served,wildfire_risk,psps_history,reliability_tier
CKT-301,Granite Pass 12kV,electric,sierra_foothills,1k_5k,extreme,yes,bottom_quartile
CKT-302,Bear Hollow 12kV,electric,sierra_foothills,under_1k,extreme,yes,bottom_quartile
CKT-303,Madrone Ridge 21kV,electric,north_coast,1k_5k,elevated,yes,mid
CKT-304,Seabright 21kV,electric,north_coast,5k_20k,elevated,no,mid
CKT-305,Almond Junction 12kV,electric,central_valley,over_20k,standard,no,top_quartile
CKT-306,Canal District 12kV,electric,central_valley,5k_20k,standard,no,top_quartile
CKT-307,Yucca Flats 33kV,electric,high_desert,1k_5k,elevated,no,mid
CKT-308,Civic Center Network,electric,metro_core,over_20k,standard,no,top_quartile
CKT-309,Ridgeline Foothill 12kV,electric,foothill_south,1k_5k,extreme,yes,bottom_quartile
CKT-310,Oakvale 21kV,electric,foothill_south,5k_20k,elevated,no,mid
CKT-311,Sierra Gas District 11,gas,sierra_foothills,1k_5k,elevated,no,mid
CKT-312,Metro Gas District 3,gas,metro_core,over_20k,standard,no,top_quartile
